1770817878.184986 server started (33611): version 3.6a, socket /tmp/tmux-1000/default, protocol 8
1770817878.185000 on Linux 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025
1770817878.185005 using libevent 2.1.12-stable poll
1770817878.185010 using utf8proc 2.11.2
1770817878.185011 using ncurses 6.5 20240427
1770817878.196562 cmd_parse_build_commands 0:3 0:4 0:55 0:1: -k
1770817878.196567 cmd_parse_build_commands 0:3 0:4 0:56: #{?pane_marked,Unmark,Mark}
1770817878.196568 cmd_parse_build_commands 0:3 0:4 0:57: m
1770817878.196570 cmd_parse_build_commands 0:3 0:4 0:58 0:0: select-pane
1770817878.196571 cmd_parse_build_commands 0:3 0:4 0:58 0:1: -m
1770817878.196573 cmd_parse_build_commands 0:3 0:4 0:59: #{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}
1770817878.196574 cmd_parse_build_commands 0:3 0:4 0:60: z
1770817878.196576 cmd_parse_build_commands 0:3 0:4 0:61 0:0: resize-pane
1770817878.196577 cmd_parse_build_commands 0:3 0:4 0:61 0:1: -Z
1770817878.196580 cmd_parse_build_commands 0:0: if
1770817878.196581 cmd_parse_build_commands 0:1: -Ft=
1770817878.196583 cmd_parse_build_commands 0:2: #{||:#{mouse_any_flag},#{&&:#{pane_in_mode},#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}}}
1770817878.196585 cmd_parse_build_commands 0:3 0:0: select-pane
1770817878.196586 cmd_parse_build_commands 0:3 0:1: -t=
1770817878.196587 cmd_parse_build_commands 0:3 1:0: send
1770817878.196589 cmd_parse_build_commands 0:3 1:1: -M
1770817878.196591 cmd_parse_build_commands 0:4 0:0: display-menu
1770817878.196592 cmd_parse_build_commands 0:4 0:1: -t=
1770817878.196593 cmd_parse_build_commands 0:4 0:2: -xM
1770817878.196595 cmd_parse_build_commands 0:4 0:3: -yM
1770817878.196596 cmd_parse_build_commands 0:4 0:4: -T
1770817878.196598 cmd_parse_build_commands 0:4 0:5: #[align=centre]#{pane_index} (#{pane_id})
1770817878.196599 cmd_parse_build_commands 0:4 0:6: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1770817878.196601 cmd_parse_build_commands 0:4 0:7: <
1770817878.196602 cmd_parse_build_commands 0:4 0:8 0:0: send
1770817878.196604 cmd_parse_build_commands 0:4 0:8 0:1: -X
1770817878.196605 cmd_parse_build_commands 0:4 0:8 0:2: history-top
1770817878.196607 cmd_parse_build_commands 0:4 0:9: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}
1770817878.196608 cmd_parse_build_commands 0:4 0:10: >
1770817878.196610 cmd_parse_build_commands 0:4 0:11 0:0: send
1770817878.196611 cmd_parse_build_commands 0:4 0:11 0:1: -X
1770817878.196616 cmd_parse_build_commands 0:4 0:11 0:2: history-bottom
1770817878.196618 cmd_parse_build_commands 0:4 0:12: 
1770817878.196619 cmd_parse_build_commands 0:4 0:13: #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}
1770817878.196621 cmd_parse_build_commands 0:4 0:14: C-r
1770817878.196622 cmd_parse_build_commands 0:4 0:15 0:0: if
1770817878.196624 cmd_parse_build_commands 0:4 0:15 0:1: -F
1770817878.196625 cmd_parse_build_commands 0:4 0:15 0:2: #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1770817878.196627 cmd_parse_build_commands 0:4 0:15 0:3: copy-mode -t=
1770817878.196628 cmd_parse_build_commands 0:4 0:15 1:0: send
1770817878.196630 cmd_parse_build_commands 0:4 0:15 1:1: -Xt=
1770817878.196631 cmd_parse_build_commands 0:4 0:15 1:2: search-backward
1770817878.196633 cmd_parse_build_commands 0:4 0:15 1:3: --
1770817878.196634 cmd_parse_build_commands 0:4 0:15 1:4: #{q:mouse_word}
1770817878.196636 cmd_parse_build_commands 0:4 0:16: #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}
1770817878.196637 cmd_parse_build_commands 0:4 0:17: C-y
1770817878.196639 cmd_parse_build_commands 0:4 0:18 0:0: copy-mode
1770817878.196640 cmd_parse_build_commands 0:4 0:18 0:1: -q
1770817878.196642 cmd_parse_build_commands 0:4 0:18 1:0: send-keys
1770817878.196643 cmd_parse_build_commands 0:4 0:18 1:1: -l
1770817878.196645 cmd_parse_build_commands 0:4 0:18 1:2: --
1770817878.196646 cmd_parse_build_commands 0:4 0:18 1:3: #{q:mouse_word}
1770817878.196648 cmd_parse_build_commands 0:4 0:19: #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}
1770817878.196649 cmd_parse_build_commands 0:4 0:20: c
1770817878.196651 cmd_parse_build_commands 0:4 0:21 0:0: copy-mode
1770817878.196652 cmd_parse_build_commands 0:4 0:21 0:1: -q
1770817878.196654 cmd_parse_build_commands 0:4 0:21 1:0: set-buffer
1770817878.196655 cmd_parse_build_commands 0:4 0:21 1:1: --
1770817878.196657 cmd_parse_build_commands 0:4 0:21 1:2: #{q:mouse_word}
1770817878.196658 cmd_parse_build_commands 0:4 0:22: #{?mouse_line,Copy Line,}
1770817878.196663 cmd_parse_build_commands 0:4 0:23: l
1770817878.196664 cmd_parse_build_commands 0:4 0:24 0:0: copy-mode
1770817878.196666 cmd_parse_build_commands 0:4 0:24 0:1: -q
1770817878.196667 cmd_parse_build_commands 0:4 0:24 1:0: set-buffer
1770817878.196669 cmd_parse_build_commands 0:4 0:24 1:1: --
1770817878.196670 cmd_parse_build_commands 0:4 0:24 1:2: #{q:mouse_line}
1770817878.196672 cmd_parse_build_commands 0:4 0:25: 
1770817878.196673 cmd_parse_build_commands 0:4 0:26: #{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}
1770817878.196675 cmd_parse_build_commands 0:4 0:27: C-h
1770817878.196676 cmd_parse_build_commands 0:4 0:28 0:0: copy-mode
1770817878.196685 cmd_parse_build_commands 0:4 0:28 0:1: -q
1770817878.196687 cmd_parse_build_commands 0:4 0:28 1:0: send-keys
1770817878.196688 cmd_parse_build_commands 0:4 0:28 1:1: -l
1770817878.196690 cmd_parse_build_commands 0:4 0:28 1:2: --
1770817878.196691 cmd_parse_build_commands 0:4 0:28 1:3: #{q:mouse_hyperlink}
1770817878.196693 cmd_parse_build_commands 0:4 0:29: #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}
1770817878.196695 cmd_parse_build_commands 0:4 0:30: h
1770817878.196696 cmd_parse_build_commands 0:4 0:31 0:0: copy-mode
1770817878.196697 cmd_parse_build_commands 0:4 0:31 0:1: -q
1770817878.196699 cmd_parse_build_commands 0:4 0:31 1:0: set-buffer
1770817878.196700 cmd_parse_build_commands 0:4 0:31 1:1: --
1770817878.196702 cmd_parse_build_commands 0:4 0:31 1:2: #{q:mouse_hyperlink}
1770817878.196703 cmd_parse_build_commands 0:4 0:32: 
1770817878.196705 cmd_parse_build_commands 0:4 0:33: Horizontal Split
1770817878.196706 cmd_parse_build_commands 0:4 0:34: h
1770817878.196708 cmd_parse_build_commands 0:4 0:35 0:0: split-window
1770817878.196709 cmd_parse_build_commands 0:4 0:35 0:1: -h
1770817878.196711 cmd_parse_build_commands 0:4 0:36: Vertical Split
1770817878.196712 cmd_parse_build_commands 0:4 0:37: v
1770817878.196714 cmd_parse_build_commands 0:4 0:38 0:0: split-window
1770817878.196715 cmd_parse_build_commands 0:4 0:38 0:1: -v
1770817878.196717 cmd_parse_build_commands 0:4 0:39: 
1770817878.196718 cmd_parse_build_commands 0:4 0:40: #{?#{>:#{window_panes},1},,-}Swap Up
1770817878.196720 cmd_parse_build_commands 0:4 0:41: u
1770817878.196721 cmd_parse_build_commands 0:4 0:42 0:0: swap-pane
1770817878.196723 cmd_parse_build_commands 0:4 0:42 0:1: -U
1770817878.196724 cmd_parse_build_commands 0:4 0:43: #{?#{>:#{window_panes},1},,-}Swap Down
1770817878.196726 cmd_parse_build_commands 0:4 0:44: d
1770817878.196727 cmd_parse_build_commands 0:4 0:45 0:0: swap-pane
1770817878.196729 cmd_parse_build_commands 0:4 0:45 0:1: -D
1770817878.196730 cmd_parse_build_commands 0:4 0:46: #{?pane_marked_set,,-}Swap Marked
1770817878.196732 cmd_parse_build_commands 0:4 0:47: s
1770817878.196733 cmd_parse_build_commands 0:4 0:48 0:0: swap-pane
1770817878.196735 cmd_parse_build_commands 0:4 0:49: 
1770817878.196736 cmd_parse_build_commands 0:4 0:50: Kill
1770817878.196738 cmd_parse_build_commands 0:4 0:51: X
1770817878.196739 cmd_parse_build_commands 0:4 0:52 0:0: kill-pane
1770817878.196741 cmd_parse_build_commands 0:4 0:53: Respawn
1770817878.196742 cmd_parse_build_commands 0:4 0:54: R
1770817878.196743 cmd_parse_build_commands 0:4 0:55 0:0: respawn-pane
1770817878.196745 cmd_parse_build_commands 0:4 0:55 0:1: -k
1770817878.196746 cmd_parse_build_commands 0:4 0:56: #{?pane_marked,Unmark,Mark}
1770817878.196748 cmd_parse_build_commands 0:4 0:57: m
1770817878.196749 cmd_parse_build_commands 0:4 0:58 0:0: select-pane
1770817878.196751 cmd_parse_build_commands 0:4 0:58 0:1: -m
1770817878.196753 cmd_parse_build_commands 0:4 0:59: #{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}
1770817878.196754 cmd_parse_build_commands 0:4 0:60: z
1770817878.196756 cmd_parse_build_commands 0:4 0:61 0:0: resize-pane
1770817878.196757 cmd_parse_build_commands 0:4 0:61 0:1: -Z
1770817878.196759 cmd_parse_build_commands 0:0: select-pane
1770817878.196760 cmd_parse_build_commands 0:1: -t=
1770817878.196765 cmd_parse_build_commands 1:0: send
1770817878.196767 cmd_parse_build_commands 1:1: -M
1770817878.196769 args_parse_flags: next -t=
1770817878.196771 args_parse_flag_argument: -t = =
1770817878.196772 args_parse: flags end at 2 of 2
1770817878.196774 args_parse_flags: next -M
1770817878.196776 args_parse_flags: -M
1770817878.196777 args_parse: flags end at 2 of 2
1770817878.196780 cmd_parse_build_commands: select-pane -t = ; send-keys -M
1770817878.196782 cmd_parse_build_commands 0:0: display-menu
1770817878.196783 cmd_parse_build_commands 0:1: -t=
1770817878.196785 cmd_parse_build_commands 0:2: -xM
1770817878.196786 cmd_parse_build_commands 0:3: -yM
1770817878.196787 cmd_parse_build_commands 0:4: -T
1770817878.196789 cmd_parse_build_commands 0:5: #[align=centre]#{pane_index} (#{pane_id})
1770817878.196791 cmd_parse_build_commands 0:6: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1770817878.196792 cmd_parse_build_commands 0:7: <
1770817878.196794 cmd_parse_build_commands 0:8 0:0: send
1770817878.196795 cmd_parse_build_commands 0:8 0:1: -X
1770817878.196797 cmd_parse_build_commands 0:8 0:2: history-top
1770817878.196798 cmd_parse_build_commands 0:9: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}
1770817878.196800 cmd_parse_build_commands 0:10: >
1770817878.196801 cmd_parse_build_commands 0:11 0:0: send
1770817878.196803 cmd_parse_build_commands 0:11 0:1: -X
1770817878.196804 cmd_parse_build_commands 0:11 0:2: history-bottom
1770817878.196806 cmd_parse_build_commands 0:12: 
1770817878.196807 cmd_parse_build_commands 0:13: #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}
1770817878.196809 cmd_parse_build_commands 0:14: C-r
1770817878.196810 cmd_parse_build_commands 0:15 0:0: if
1770817878.196812 cmd_parse_build_commands 0:15 0:1: -F
1770817878.196819 cmd_parse_build_commands 0:15 0:2: #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1770817878.196821 cmd_parse_build_commands 0:15 0:3: copy-mode -t=
1770817878.196822 cmd_parse_build_commands 0:15 1:0: send
1770817878.196823 cmd_parse_build_commands 0:15 1:1: -Xt=
1770817878.196825 cmd_parse_build_commands 0:15 1:2: search-backward
1770817878.196826 cmd_parse_build_commands 0:15 1:3: --
1770817878.196828 cmd_parse_build_commands 0:15 1:4: #{q:mouse_word}
1770817878.196830 cmd_parse_build_commands 0:16: #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}
1770817878.196831 cmd_parse_build_commands 0:17: C-y
1770817878.196833 cmd_parse_build_commands 0:18 0:0: copy-mode
1770817878.196834 cmd_parse_build_commands 0:18 0:1: -q
1770817878.196835 cmd_parse_build_commands 0:18 1:0: send-keys
1770817878.196837 cmd_parse_build_commands 0:18 1:1: -l
1770817878.196838 cmd_parse_build_commands 0:18 1:2: --
1770817878.196840 cmd_parse_build_commands 0:18 1:3: #{q:mouse_word}
1770817878.196841 cmd_parse_build_commands 0:19: #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}
1770817878.196843 cmd_parse_build_commands 0:20: c
1770817878.196844 cmd_parse_build_commands 0:21 0:0: copy-mode
1770817878.196846 cmd_parse_build_commands 0:21 0:1: -q
1770817878.196847 cmd_parse_build_commands 0:21 1:0: set-buffer
1770817878.196849 cmd_parse_build_commands 0:21 1:1: --
1770817878.196850 cmd_parse_build_commands 0:21 1:2: #{q:mouse_word}
1770817878.196852 cmd_parse_build_commands 0:22: #{?mouse_line,Copy Line,}
1770817878.196853 cmd_parse_build_commands 0:23: l
1770817878.196855 cmd_parse_build_commands 0:24 0:0: copy-mode
1770817878.196856 cmd_parse_build_commands 0:24 0:1: -q
1770817878.196857 cmd_parse_build_commands 0:24 1:0: set-buffer
1770817878.196859 cmd_parse_build_commands 0:24 1:1: --
1770817878.196860 cmd_parse_build_commands 0:24 1:2: #{q:mouse_line}
1770817878.196862 cmd_parse_build_commands 0:25: 
1770817878.196863 cmd_parse_build_commands 0:26: #{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}
1770817878.196865 cmd_parse_build_commands 0:27: C-h
1770817878.196866 cmd_parse_build_commands 0:28 0:0: copy-mode
1770817878.196868 cmd_parse_build_commands 0:28 0:1: -q
1770817878.196869 cmd_parse_build_commands 0:28 1:0: send-keys
1770817878.196874 cmd_parse_build_commands 0:28 1:1: -l
1770817878.196876 cmd_parse_build_commands 0:28 1:2: --
1770817878.196877 cmd_parse_build_commands 0:28 1:3: #{q:mouse_hyperlink}
1770817878.196879 cmd_parse_build_commands 0:29: #{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}
1770817878.196880 cmd_parse_build_commands 0:30: h
1770817878.196882 cmd_parse_build_commands 0:31 0:0: copy-mode
1770817878.196883 cmd_parse_build_commands 0:31 0:1: -q
1770817878.196885 cmd_parse_build_commands 0:31 1:0: set-buffer
1770817878.196886 cmd_parse_build_commands 0:31 1:1: --
1770817878.196888 cmd_parse_build_commands 0:31 1:2: #{q:mouse_hyperlink}
1770817878.196889 cmd_parse_build_commands 0:32: 
1770817878.196891 cmd_parse_build_commands 0:33: Horizontal Split
1770817878.196892 cmd_parse_build_commands 0:34: h
1770817878.196894 cmd_parse_build_commands 0:35 0:0: split-window
1770817878.196895 cmd_parse_build_commands 0:35 0:1: -h
1770817878.196896 cmd_parse_build_commands 0:36: Vertical Split
1770817878.196898 cmd_parse_build_commands 0:37: v
1770817878.196899 cmd_parse_build_commands 0:38 0:0: split-window
1770817878.196901 cmd_parse_build_commands 0:38 0:1: -v
1770817878.196902 cmd_parse_build_commands 0:39: 
1770817878.196904 cmd_parse_build_commands 0:40: #{?#{>:#{window_panes},1},,-}Swap Up
1770817878.196905 cmd_parse_build_commands 0:41: u
1770817878.196907 cmd_parse_build_commands 0:42 0:0: swap-pane
1770817878.196908 cmd_parse_build_commands 0:42 0:1: -U
1770817878.196910 cmd_parse_build_commands 0:43: #{?#{>:#{window_panes},1},,-}Swap Down
1770817878.196911 cmd_parse_build_commands 0:44: d
1770817878.196912 cmd_parse_build_commands 0:45 0:0: swap-pane
1770817878.196914 cmd_parse_build_commands 0:45 0:1: -D
1770817878.196915 cmd_parse_build_commands 0:46: #{?pane_marked_set,,-}Swap Marked
1770817878.196917 cmd_parse_build_commands 0:47: s
1770817878.196918 cmd_parse_build_commands 0:48 0:0: swap-pane
1770817878.196919 cmd_parse_build_commands 0:49: 
1770817878.196921 cmd_parse_build_commands 0:50: Kill
1770817878.196922 cmd_parse_build_commands 0:51: X
1770817878.196924 cmd_parse_build_commands 0:52 0:0: kill-pane
1770817878.196925 cmd_parse_build_commands 0:53: Respawn
1770817878.196926 cmd_parse_build_commands 0:54: R
1770817878.196928 cmd_parse_build_commands 0:55 0:0: respawn-pane
1770817878.196930 cmd_parse_build_commands 0:55 0:1: -k
1770817878.196931 cmd_parse_build_commands 0:56: #{?pane_marked,Unmark,Mark}
1770817878.196933 cmd_parse_build_commands 0:57: m
1770817878.196934 cmd_parse_build_commands 0:58 0:0: select-pane
1770817878.196936 cmd_parse_build_commands 0:58 0:1: -m
1770817878.196937 cmd_parse_build_commands 0:59: #{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}
1770817878.196939 cmd_parse_build_commands 0:60: z
1770817878.196940 cmd_parse_build_commands 0:61 0:0: resize-pane
1770817878.196941 cmd_parse_build_commands 0:61 0:1: -Z
1770817878.196943 cmd_parse_build_commands 0:0: send
1770817878.196945 cmd_parse_build_commands 0:1: -X
1770817878.196946 cmd_parse_build_commands 0:2: history-top
1770817878.196948 args_parse_flags: next -X
1770817878.196950 args_parse_flags: -X
1770817878.196951 args_parse_flags: next history-top
1770817878.196953 args_parse: flags end at 2 of 3
1770817878.196954 args_parse: 2 = history-top (type STRING)
1770817878.196957 cmd_parse_build_commands: send-keys -X history-top
1770817878.196958 cmd_parse_build_commands 0:0: send
1770817878.196960 cmd_parse_build_commands 0:1: -X
1770817878.196961 cmd_parse_build_commands 0:2: history-bottom
1770817878.196963 args_parse_flags: next -X
1770817878.196965 args_parse_flags: -X
1770817878.196966 args_parse_flags: next history-bottom
1770817878.196967 args_parse: flags end at 2 of 3
1770817878.196969 args_parse: 2 = history-bottom (type STRING)
1770817878.196971 cmd_parse_build_commands: send-keys -X history-bottom
1770817878.196973 cmd_parse_build_commands 0:0: if
1770817878.196974 cmd_parse_build_commands 0:1: -F
1770817878.196976 cmd_parse_build_commands 0:2: #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1770817878.196980 cmd_parse_build_commands 0:3: copy-mode -t=
1770817878.196982 cmd_parse_build_commands 1:0: send
1770817878.196983 cmd_parse_build_commands 1:1: -Xt=
1770817878.196985 cmd_parse_build_commands 1:2: search-backward
1770817878.196986 cmd_parse_build_commands 1:3: --
1770817878.196987 cmd_parse_build_commands 1:4: #{q:mouse_word}
1770817878.196989 args_parse_flags: next -F
1770817878.196991 args_parse_flags: -F
1770817878.196993 args_parse_flags: next #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}
1770817878.196994 args_parse: flags end at 2 of 4
1770817878.196996 args_parse: 2 = #{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1} (type STRING)
1770817878.196998 args_parse: 3 = copy-mode -t= (type STRING)
1770817878.197000 args_parse_flags: next -Xt=
1770817878.197002 args_parse_flags: -X
1770817878.197003 args_parse_flag_argument: -t = =
1770817878.197004 args_parse_flags: next search-backward
1770817878.197006 args_parse: flags end at 2 of 5
1770817878.197007 args_parse: 2 = search-backward (type STRING)
1770817878.197009 args_parse: 3 = -- (type STRING)
1770817878.197010 args_parse: 4 = #{q:mouse_word} (type STRING)
1770817878.197015 cmd_parse_build_commands: if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward -- "#{q:mouse_word}"
1770817878.197017 cmd_parse_build_commands 0:0: copy-mode
1770817878.197018 cmd_parse_build_commands 0:1: -q
1770817878.197020 cmd_parse_build_commands 1:0: send-keys
1770817878.197021 cmd_parse_build_commands 1:1: -l
1770817878.197023 cmd_parse_build_commands 1:2: --
1770817878.197024 cmd_parse_build_commands 1:3: #{q:mouse_word}
1770817878.197026 args_parse_flags: next -q
1770817878.197027 args_parse_flags: -q
1770817878.197028 args_parse: flags end at 2 of 2
1770817878.197030 args_parse_flags: next -l
1770817878.197032 args_parse_flags: -l
1770817878.197033 args_parse_flags: next --
1770817878.197035 args_parse: flags end at 3 of 4
1770817878.197036 args_parse: 3 = #{q:mouse_word} (type STRING)
1770817878.197039 cmd_parse_build_commands: copy-mode -q ; send-keys -l "#{q:mouse_word}"
1770817878.197041 cmd_parse_build_commands 0:0: copy-mode
1770817878.197042 cmd_parse_build_commands 0:1: -q
1770817878.197044 cmd_parse_build_commands 1:0: set-buffer
1770817878.197045 cmd_parse_build_commands 1:1: --
1770817878.197046 cmd_parse_build_commands 1:2: #{q:mouse_word}
1770817878.197048 args_parse_flags: next -q
1770817878.197049 args_parse_flags: -q
1770817878.197051 args_parse: flags end at 2 of 2
1770817878.197053 args_parse_flags: next --
1770817878.197054 args_parse: flags end at 2 of 3
1770817878.197056 args_parse: 2 = #{q:mouse_word} (type STRING)
1770817878.197058 cmd_parse_build_commands: copy-mode -q ; set-buffer "#{q:mouse_word}"
1770817878.197060 cmd_parse_build_commands 0:0: copy-mode
1770817878.197061 cmd_parse_build_commands 0:1: -q
1770817878.197063 cmd_parse_build_commands 1:0: set-buffer
1770817878.197064 cmd_parse_build_commands 1:1: --
1770817878.197068 cmd_parse_build_commands 1:2: #{q:mouse_line}
1770817878.197070 args_parse_flags: next -q
1770817878.197071 args_parse_flags: -q
1770817878.197072 args_parse: flags end at 2 of 2
1770817878.197075 args_parse_flags: next --
1770817878.197076 args_parse: flags end at 2 of 3
1770817878.197078 args_parse: 2 = #{q:mouse_line} (type STRING)
1770817878.197080 cmd_parse_build_commands: copy-mode -q ; set-buffer "#{q:mouse_line}"
1770817878.197082 cmd_parse_build_commands 0:0: copy-mode
1770817878.197084 cmd_parse_build_commands 0:1: -q
1770817878.197085 cmd_parse_build_commands 1:0: send-keys
1770817878.197086 cmd_parse_build_commands 1:1: -l
1770817878.197088 cmd_parse_build_commands 1:2: --
1770817878.197089 cmd_parse_build_commands 1:3: #{q:mouse_hyperlink}
1770817878.197091 args_parse_flags: next -q
1770817878.197092 args_parse_flags: -q
1770817878.197094 args_parse: flags end at 2 of 2
1770817878.197096 args_parse_flags: next -l
1770817878.197097 args_parse_flags: -l
1770817878.197099 args_parse_flags: next --
1770817878.197100 args_parse: flags end at 3 of 4
1770817878.197105 args_parse: 3 = #{q:mouse_hyperlink} (type STRING)
1770817878.197107 cmd_parse_build_commands: copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}"
1770817878.197112 cmd_parse_build_commands 0:0: copy-mode
1770817878.197113 cmd_parse_build_commands 0:1: -q
1770817878.197115 cmd_parse_build_commands 1:0: set-buffer
1770817878.197116 cmd_parse_build_commands 1:1: --
1770817878.197118 cmd_parse_build_commands 1:2: #{q:mouse_hyperlink}
1770817878.197119 args_parse_flags: next -q
1770817878.197121 args_parse_flags: -q
1770817878.197122 args_parse: flags end at 2 of 2
1770817878.197124 args_parse_flags: next --
1770817878.197126 args_parse: flags end at 2 of 3
1770817878.197127 args_parse: 2 = #{q:mouse_hyperlink} (type STRING)
1770817878.197130 cmd_parse_build_commands: copy-mode -q ; set-buffer "#{q:mouse_hyperlink}"
1770817878.197132 cmd_parse_build_commands 0:0: split-window
1770817878.197133 cmd_parse_build_commands 0:1: -h
1770817878.197135 args_parse_flags: next -h
1770817878.197137 args_parse_flags: -h
1770817878.197138 args_parse: flags end at 2 of 2
1770817878.197140 cmd_parse_build_commands: split-window -h
1770817878.197142 cmd_parse_build_commands 0:0: split-window
1770817878.197143 cmd_parse_build_commands 0:1: -v
1770817878.197145 args_parse_flags: next -v
1770817878.197147 args_parse_flags: -v
1770817878.197148 args_parse: flags end at 2 of 2
1770817878.197150 cmd_parse_build_commands: split-window -v
1770817878.197152 cmd_parse_build_commands 0:0: swap-pane
1770817878.197153 cmd_parse_build_commands 0:1: -U
1770817878.197156 args_parse_flags: next -U
1770817878.197157 args_parse_flags: -U
1770817878.197159 args_parse: flags end at 2 of 2
1770817878.197160 cmd_parse_build_commands: swap-pane -U
1770817878.197162 cmd_parse_build_commands 0:0: swap-pane
1770817878.197164 cmd_parse_build_commands 0:1: -D
1770817878.197166 args_parse_flags: next -D
1770817878.197167 args_parse_flags: -D
1770817878.197168 args_parse: flags end at 2 of 2
1770817878.197170 cmd_parse_build_commands: swap-pane -D
1770817878.197172 cmd_parse_build_commands 0:0: swap-pane
1770817878.197174 args_parse: flags end at 1 of 1
1770817878.197176 cmd_parse_build_commands: swap-pane
1770817878.197178 cmd_parse_build_commands 0:0: kill-pane
1770817878.197180 args_parse: flags end at 1 of 1
1770817878.197181 cmd_parse_build_commands: kill-pane
1770817878.197183 cmd_parse_build_commands 0:0: respawn-pane
1770817878.197185 cmd_parse_build_commands 0:1: -k
1770817878.197187 args_parse_flags: next -k
1770817878.197188 args_parse_flags: -k
1770817878.197189 args_parse: flags end at 2 of 2
1770817878.197191 cmd_parse_build_commands: respawn-pane -k
1770817878.197193 cmd_parse_build_commands 0:0: select-pane
1770817878.197194 cmd_parse_build_commands 0:1: -m
1770817878.197197 args_parse_flags: next -m
1770817878.197198 args_parse_flags: -m
1770817878.197199 args_parse: flags end at 2 of 2
1770817878.197201 cmd_parse_build_commands: select-pane -m
1770817878.197203 cmd_parse_build_commands 0:0: resize-pane
1770817878.197204 cmd_parse_build_commands 0:1: -Z
1770817878.197207 args_parse_flags: next -Z
1770817878.197208 args_parse_flags: -Z
1770817878.197209 args_parse: flags end at 2 of 2
1770817878.197211 cmd_parse_build_commands: resize-pane -Z
1770817878.197213 args_parse_flags: next -t=
1770817878.197214 args_parse_flag_argument: -t = =
1770817878.197216 args_parse_flags: next -xM
1770817878.197217 args_parse_flag_argument: -x = M
1770817878.197218 args_parse_flags: next -yM
1770817878.197220 args_parse_flag_argument: -y = M
1770817878.197221 args_parse_flags: next -T
1770817878.197223 args_parse_flag_argument: -T = #[align=centre]#{pane_index} (#{pane_id})
1770817878.197225 args_parse_flags: next #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1770817878.197226 args_parse: flags end at 6 of 62
1770817878.197228 args_parse: 6 = #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,} (type STRING)
1770817878.197229 args_parse: 7 = < (type STRING)
1770817878.197232 args_parse: 8 = send-keys -X history-top (type COMMANDS)
1770817878.197234 args_parse: 9 = #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,} (type STRING)
1770817878.197238 args_parse: 10 = > (type STRING)
1770817878.197240 args_parse: 11 = send-keys -X history-bottom (type COMMANDS)
1770817878.197242 args_parse: 12 =  (type STRING)
1770817878.197244 args_parse: 13 = #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},} (type STRING)
1770817878.197245 args_parse: 14 = C-r (type STRING)
1770817878.197250 args_parse: 15 = if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward -- "#{q:mouse_word}" (type COMMANDS)
1770817878.197252 args_parse: 16 = #{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},} (type STRING)
1770817878.197254 args_parse: 17 = C-y (type STRING)
1770817878.197256 args_parse: 18 = copy-mode -q ; send-keys -l "#{q:mouse_word}" (type COMMANDS)
1770817878.197258 args_parse: 19 = #{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},} (type STRING)
1770817878.197259 args_parse: 20 = c (type STRING)
1770817878.197262 args_parse: 21 = copy-mode -q ; set-buffer "#{q:mouse_word}" (type COMMANDS)
1770817878.197263 args_parse: 22 = #{?mouse_line,Copy Line,} (type STRING)
1770817878.197265 args_parse: 23 = l (type STRING)
